unique ID,pullback_set_label,node_elements,node_size
1,13,WTC_B2_24h_C1_TR1,1
2,18,WTC_B2_24h_C1_TR1,2
2,18,WTC_B2_24h_C2_TR2,2
3,1,WTC_B2_24h_C1_TR2,1
4,2,WTC_B2_24h_C1_TR2,2
4,2,WTC_B2_24h_C1_TR3,2
5,4,WTC_B2_24h_C1_TR2,2
5,4,WTC_B2_24h_C2_TR1,2
6,5,WTC_B2_24h_C1_TR2,3
6,5,WTC_B2_24h_C1_TR3,3
6,5,WTC_B2_24h_C2_TR1,3
7,3,WTC_B2_24h_C1_TR3,1
8,6,WTC_B2_24h_C1_TR3,2
8,6,WTC_B2_24h_C2_TR1,2
9,8,WTC_B2_24h_C2_TR1,2
9,8,WTC_B2_24h_C2_TR3,2
10,9,WTC_B2_24h_C2_TR1,1
11,19,WTC_B2_24h_C2_TR2,1
12,7,WTC_B2_24h_C2_TR3,1
13,17,WTC_B2_24h_C3_TR1,2
13,17,WTC_B2_24h_C3_TR3,2
14,0,WTC_B2_24h_C3_TR2,1
15,16,WTC_B2_24h_C3_TR3,1
16,10,WTC_B2_24h_C4_TR1,1
17,12,WTC_B2_24h_C4_TR1,2
17,12,WTC_B2_24h_C4_TR2,2
18,15,WTC_B2_24h_C4_TR1,3
18,15,WTC_B2_24h_C4_TR2,3
18,15,WTC_B2_24h_C4_TR3,3
19,11,WTC_B2_24h_C4_TR2,1
20,14,WTC_B2_24h_C4_TR2,2
20,14,WTC_B2_24h_C4_TR3,2
21,20,WTC_B2_24h_C4_TR3,1
