Feature,protein_description,Pearson: Relative FoC change,Pearson p-value: Relative FoC change,Spearman: Relative FoC change,Spearman p-value: Relative FoC change,Pearson: Only last FoC measurment for each sample,Pearson p-value: Only last FoC measurment for each sample,Spearman: Only last FoC measurment for each sample,Spearman p-value: Only last FoC measurment for each sample,Pearson: Enrichment with 'Epinephrine 1uM',Pearson p-value: Enrichment with 'Epinephrine 1uM',Spearman: Enrichment with 'Epinephrine 1uM',Spearman p-value: Enrichment with 'Epinephrine 1uM',Pearson: Enrichment with 'DMSO',Pearson p-value: Enrichment with 'DMSO',Spearman: Enrichment with 'DMSO',Spearman p-value: Enrichment with 'DMSO',Pearson: Enrichment with 'Not treated',Pearson p-value: Enrichment with 'Not treated',Spearman: Enrichment with 'Not treated',Spearman p-value: Enrichment with 'Not treated',Pearson: Enrichment with 'Doxorubicin 5 uM',Pearson p-value: Enrichment with 'Doxorubicin 5 uM',Spearman: Enrichment with 'Doxorubicin 5 uM',Spearman p-value: Enrichment with 'Doxorubicin 5 uM'
0.A0A096LP01;A0A096LP01-2.SIM26_HUMAN.SMIM26,Small integral membrane protein 26;Isoform 2 of Small integral membrane protein 26,0.8502340236698966,1.0586834391585915e-06,0.41818181818181815,0.05922578935165214,0.7688554529661884,4.651678222644352e-05,0.6077922077922078,0.0034698523902231206,0.3275432481869451,0.14722029513778662,0.2959320151246863,0.19274676789084996,0.10998938323220449,0.635061073811245,-0.133810319150107,0.5630894958604846,0.34438583284306357,0.12632801305533345,0.38124727802544445,0.08815508905994157,-0.9415180809130175,2.0158500553615612e-10,-0.606779876216918,0.0035394144753656083
1.A0A0B4J271.TVAL3_HUMAN.TRAV12-3,T cell receptor alpha variable 12-3,-0.6773993997932385,0.000742180891993043,-0.24935064935064938,0.2756990797076051,-0.7070386728648176,0.0003385278959605626,-0.5025974025974026,0.020229828771012287,-0.273675871255727,0.229971833294983,-0.12185435916898849,0.598762067797727,-0.1640859554546127,0.4772498321973056,-0.32293887079802364,0.153330442174939,-0.2505881659745891,0.2732445278755413,-0.124839794961273,0.5897667881910162,0.8250672015196421,4.173829087544497e-06,0.606779876216918,0.0035394144753656083
2.A0A0B4J2D5;P0DPI2.GAL3B_HUMAN;GAL3A_HUMAN.GATD3B;GATD3,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial",-0.3554069912422694,0.11386036888452662,-0.16753246753246753,0.46791573870834513,-0.3775469995856741,0.09154449266292207,-0.3090909090909091,0.17276827264194702,0.07920857816062613,0.7328854324999734,0.034815531191139566,0.8809064868357404,-0.42936028392747283,0.052090793599820634,-0.3603160549181652,0.1086034717541239,-0.15917449973611247,0.4907112453890237,-0.22127292999123838,0.33508099664792124,0.5623830218093524,0.00796090867536653,0.516886561221819,0.016425686226115715
3.A0A0U1RQI7.KLF18_HUMAN.KLF18,Kruppel-like factor 18,-0.1919531026760886,0.4045236278216939,-0.258211723460763,0.2584271916360745,-0.3802814842587522,0.08903064075920317,-0.5209762984686931,0.015450323451470653,0.07655273485138808,0.7415420244431863,-0.03487218791078537,0.8807140128859798,0.11693713410738349,0.6137009097652159,0.03594048914018884,0.8770860079454059,-0.46654003790099585,0.033009835672574615,-0.45898999672782825,0.03635181320364526,0.3052681190120048,0.17841912476368005,0.47270791058500566,0.030462975184466088
4.A0A0U1RRL7.MMPOS_HUMAN.MMP24OS,Protein MMP24OS,-0.09739903095297998,0.6744790144458174,-0.32597402597402597,0.14928317187962065,-0.003957003027950004,0.9864183602652442,-0.08441558441558442,0.7160045730938804,-0.37382698466516634,0.09504792841504736,-0.4351941398892446,0.0486395050068519,0.5988586251184622,0.004124940770676681,0.48067058778502114,0.027406894458244232,0.07177131640493559,0.7572021784581195,0.3947030643086955,0.07660981821022188,-0.27200751232480586,0.2329388729775134,-0.3370999312316211,0.13508811384056663
5.A0A1B0GW35.EXC1L_HUMAN.EXOC1L,Exocyst complex component 1-like,0.12124284846329222,0.6006116075696795,0.2922077922077922,0.1986727169657405,0.17969517910899427,0.435732432170695,0.2506493506493506,0.2731235283481195,0.658463080496791,0.0011727624440244601,0.5918640302493726,0.004706924887254327,-0.5478876971207265,0.010135262686676923,-0.5606577618021242,0.008197605572366385,-0.5181744134316322,0.01611333997546891,-0.4933788303858693,0.023037175369287455,0.35958474964686526,0.10937520279146072,0.3820465887291705,0.08743529767137491
6.A0AVT1.UBA6_HUMAN.UBA6,Ubiquitin-like modifier-activating enzyme 6,0.10709016692699798,0.6440588708928637,0.27126440786712047,0.23426841177472363,0.3018275060050095,0.18361188564498127,0.49179357735510376,0.023549767539245547,0.476889392782639,0.028826322565482416,0.47150417294747543,0.03094744643556496,-0.433732639938036,0.04948708862326917,-0.3940544670486226,0.07713890416588712,-0.15710213818374175,0.4964468572913985,-0.10474372691312203,0.651376431423007,0.051509455973945684,0.8245172296670991,-0.046823789986996774,0.840272846474606
7.A0FGR8-2.ESYT2_HUMAN.ESYT2,Isoform 2 of Extended synaptotagmin-2,-0.6495628907428417,0.0014388521406787226,-0.7454545454545455,0.00010520239301192422,-0.46684339516259754,0.03288078640825813,-0.387012987012987,0.08306017415904401,-0.5184307726126526,0.016051739856724128,-0.5570484990582331,0.008711482203832263,0.3529636056113554,0.11654435775169818,0.392460433261487,0.07845082838631938,-0.14976549429261762,0.5170127361965793,-0.07026910614586625,0.7621415146894058,0.4449270197415388,0.043276899707070535,0.40451991747794525,0.06892945839706446
8.A0FGR8;A0FGR8-6.ESYT2_HUMAN.ESYT2,Extended synaptotagmin-2;Isoform 6 of Extended synaptotagmin-2,-0.25874777824065964,0.25740495163554167,-0.3922077922077922,0.07866027810398211,0.1835319101381648,0.4258297633874966,0.13116883116883118,0.570889196068409,0.12032005657564832,0.6034071092102716,0.034815531191139566,0.8809064868357404,0.20250230901703786,0.37868029497624733,0.2190302989440299,0.34012721844930704,-0.4664096136370646,0.0330654407560648,-0.3573258801885539,0.11178406905668015,0.15256276751678122,0.5091240143617027,0.20225995873897262,0.37926329417822147
9.A0JLT2;A0JLT2-2.MED19_HUMAN.MED19,Mediator of RNA polymerase II transcription subunit 19;Isoform 2 of Mediator of RNA polymerase II transcription subunit 19,0.6748738486257925,0.0007903433859397228,0.6428571428571428,0.001671524886704817,0.6721203230400544,0.000845856460316053,0.625974025974026,0.0024016012615434203,0.7582683332758036,6.804220549608915e-05,0.7137183894183612,0.0002799674895037422,-0.24198334436506072,0.29059667464906674,-0.1412857559741353,0.5412763238141183,-0.20790306217645904,0.3658201364290827,-0.1831482021886939,0.4268146536332248,-0.46870454126980154,0.032097699576723204,-0.5393598899705937,0.011626196595185725
